date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:40	14760/14760	---M--	200	added ('OK')	image/png	etag:%2239a8-56eb1fc8-bb4bba33d5bfb576;;;%22	https://www.sobczak.com.pl/img/logo-sobczak2.png	D:/website/schody/www.sobczak.com.pl/img/logo-sobczak2.png	(from https://www.sobczak.com.pl/)
13:09:40	26107/26107	---M--	200	added ('OK')	image/jpeg	etag:%2265fb-56eb1fde-577c180b59b0752b;;;%22	https://www.sobczak.com.pl/img/set01.jpg	D:/website/schody/www.sobczak.com.pl/img/set01.jpg	(from https://www.sobczak.com.pl/)
13:09:40	23478/23478	---M--	200	added ('OK')	image/jpeg	etag:%225bb6-56eb1fde-9482b2db8ef3e3b6;;;%22	https://www.sobczak.com.pl/img/set02.jpg	D:/website/schody/www.sobczak.com.pl/img/set02.jpg	(from https://www.sobczak.com.pl/)
13:09:40	23987/23987	---M--	200	added ('OK')	image/jpeg	etag:%225db3-56eb1fdf-f68bc118f5318c53;;;%22	https://www.sobczak.com.pl/img/set03.jpg	D:/website/schody/www.sobczak.com.pl/img/set03.jpg	(from https://www.sobczak.com.pl/)
13:09:41	28531/28531	---M--	200	added ('OK')	image/jpeg	etag:%226f73-56eb1fdf-7e40acfa00ebb492;;;%22	https://www.sobczak.com.pl/img/set04.jpg	D:/website/schody/www.sobczak.com.pl/img/set04.jpg	(from https://www.sobczak.com.pl/)
13:09:41	6672/6672	---M--	200	added ('OK')	image/png	etag:%221a10-586537a1-2cedd00e34d70d3c;;;%22	https://www.sobczak.com.pl/img/firma01.png	D:/website/schody/www.sobczak.com.pl/img/firma01.png	(from https://www.sobczak.com.pl/)
13:09:41	22942/22942	---M--	200	added ('OK')	image/png	etag:%22599e-586537a1-1dbbf21a64bf87f7;;;%22	https://www.sobczak.com.pl/img/firma02.png	D:/website/schody/www.sobczak.com.pl/img/firma02.png	(from https://www.sobczak.com.pl/)
13:09:41	6729/6729	---M--	200	added ('OK')	image/png	etag:%221a49-58e559f2-c87350d53d0dd329;;;%22	https://www.sobczak.com.pl/img/firma03.png	D:/website/schody/www.sobczak.com.pl/img/firma03.png	(from https://www.sobczak.com.pl/)
13:09:42	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	D:/website/schody/www.google-analytics.com/analytics.js	(from https://www.sobczak.com.pl/)
13:09:42	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:%2214979-60a2cd6c-4dc702099300126f;gz%22	https://www.sobczak.com.pl/resources/vendor/js/jquery-2.1.4.min.js	D:/website/schody/www.sobczak.com.pl/resources/vendor/js/jquery-2.1.4.min.js	(from https://www.sobczak.com.pl/)
13:09:42	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%228fd0-60a2cd6c-62a75a837f8e17a0;gz%22	https://www.sobczak.com.pl/resources/vendor/js/bootstrap.min.js	D:/website/schody/www.sobczak.com.pl/resources/vendor/js/bootstrap.min.js	(from https://www.sobczak.com.pl/)
13:09:42	179/179	---M--	200	added ('OK')	application/javascript	etag:%22b3-60a2cd6b-68ebb2ee459a740e;;;%22	https://www.sobczak.com.pl/resources/js/languages.js	D:/website/schody/www.sobczak.com.pl/resources/js/languages.js	(from https://www.sobczak.com.pl/)
13:09:43	144/144	---M--	200	added ('OK')	application/javascript	etag:%2290-60a2cd36-12834cf48e3be140;;;%22	https://www.sobczak.com.pl/dist/main.80d8b6ffc9e1cbe5dfa7.js	D:/website/schody/www.sobczak.com.pl/dist/main.80d8b6ffc9e1cbe5dfa7.js	(from https://www.sobczak.com.pl/)
13:09:43	5135/5135	---M-Z	200	added ('OK')	application/javascript	etag:%22140f-60a2cd6b-1adfe1bfa6e735ea;gz%22	https://www.sobczak.com.pl/resources/js/responsive-slider.js?v02	D:/website/schody/www.sobczak.com.pl/resources/js/responsive-slider429f.js	(from https://www.sobczak.com.pl/)
